title,year,synopsis
Animal Crackers,2020,"Enchanted animal crackers turn Owen into whatever shape he eats! But to save the family circus, he&#39;ll have to keep them out of his evil uncle&#39;s hands."
Offering to the Storm,2020,"Amaia investigates several suspicious infant deaths and horrific rituals. Meanwhile, people around her risk grave danger. Part 3 in the Baztan Trilogy."
Dragons: Rescue Riders: Secrets of the Songwing,2020,"When a musical dragon with a beautiful voice hypnotizes the dragons and people of Huttsgalor, the Rescue Riders have to find a way to break the spell."
Sing On! Spain,2020,"In this fast-paced, high-energy karaoke competition, singers from all walks of life battle it out for up to 30,000 euros!"
The Kissing Booth 2,2020,"With college decisions looming, Elle juggles her long-distance romance with Noah, changing relationship with bestie Lee and feelings for a new classmate."
Hell on the Border,2019,"In the late 1800s, legendary marshal Bass Reeves sets out on the trail of notorious outlaw Bob Dozier."
The Larva Island Movie,2020,"In this movie sequel to the hit series, Chuck returns home and talks to a reporter about life on the island with zany larva pals Red and Yellow."
Love on the Spectrum,2019,"Finding love can be hard for anyone. For young adults on the autism spectrum, exploring the unpredictable world of dating is even more complicated."
Fear City: New York vs The Mafia,2020,"Five Mafia families ruled New York with a bloody fist in the 1970s and &#39;80s, until a group of federal agents tried the unthinkable: taking them down."
Street Food: Latin America,2020,"In this vibrant docuseries, Latin American chefs tell their stories and bring a taste of tradition and innovation to their delicious offerings."
Gigantosaurus,2019,"Four prehistoric friends go on an array of adventures while trying to unravel a mystery about a big, fierce creature. Based on Jonny Duddle&#39;s book."
Father Soldier Son,2020,"After a single father is severely wounded in Afghanistan, he and his sons embark on a journey of sacrifice and a search for redemption."
Kissing Game,2020,"At a high school in a rural, isolated ranching community, families panic when teens contract a mysterious ""kissing disease"" that quickly spreads."
Cursed,2020,"Armed with mysterious powers and a legendary sword, young rebel NimueÂ joins forces with charming mercenary Arthur on a mission to save her people."
Downton Abbey,2019,Turn back the clock with the Crawley family and their staff as they prepare for a new era and a royal visit. But even perfect plans can go awry.
MILF,2018,"In the south of France, three best friends in their 40s navigate loss and heartbreak while embarking on steamy affairs with much younger men."
A Dog&#39;s Journey,2019,"A dog&#39;s extraordinary bond with a family deepens when he befriends a young granddaughter, and reincarnates to protect and support her as she grows up."
Indian Matchmaking,2020,"Matchmaker Sima Taparia guides clients in the U.S. and India in the arranged marriage process, offering an inside look at the custom in a modern era."
Fatal Affair,2020,A lawyer is caught in a terrifying game of cat and mouse when a drink with an old friend escalates into an obsession that jeopardizes everyone she loves.
Dark Desire,2020,"Married Alma spends a fateful weekend away from home that ignites passion, ends in tragedy and leads her to question the truth about those close to her."
Skin Decision: Before and After,2020,Skin and beauty expert Nurse Jamie and plastic surgeon Dr. Sheila Nazarian use the latest procedures to bring out their clients&#39; best selves.
The Business of Drugs,2020,"To understand the origins and true impact of the business of drugs, a former CIA analyst investigates the economics of six illicit substances."
I See You,2019,"As he searches for a missing child, a small-town detective uncovers a malicious presence lurking in the crevices of his familyâ€™s already broken home."
The Hater,2020,A duplicitous young man finds success in the dark world of social media smear tactics â€” but his virtual vitriol soon has violent real-life consequences.
The Epic Tales of Captain Underpants in Space,2020,Best friends George and Harold — along with their classmates and tyrannical principal — are recruited for a mysterious mission in outer space.
Down to Earth with Zac Efron,2020,"Actor Zac Efron journeys around the world with wellness expert Darin Olien in a travel show that explores healthy, sustainable ways to live."
The Old Guard,2020,Four undying warriors who&#39;ve secretly protected humanity for centuries become targeted for their mysterious powers just as they discover a new immortal.
Little Women,2019,"Determined to make her own way in the 1860s, a writer looks back at the tough yet tender times spent with her three spirited sisters and a close chum."
Japan Sinks: 2020,2020,"After catastrophic earthquakes devastate Japan, one family&#39;s resolve is tested on a journey of survival through the sinking archipelago."
Born Racer,2018,"In this all-access pass, IndyCar champion Scott Dixon and his team navigate the risks on the road in the quest to win it all."
Stateless,2020,"Four strangers — a woman on the run, a brave refugee, a driven bureaucrat and a struggling dad — intersect at an Australian immigration detention center."
Mucho Mucho Amor: The Legend of Walter Mercado,2020,"Dazzling and tender-hearted, legendary astrologer Walter Mercado vanished at the peak of his fame. This documentary poignantly explains what happened."
The Informer,2019,"Even after a drug bust goes wrong, an FBI informant is forced to continue his undercover work in prison to crack open an organized crime ring."
Think Like a Dog,2020,"When whiz kid Oliver discovers a way to hear his dog&#39;s thoughts, he joins forces with his furry best friend to find a way to keep their family together."
JU-ON: Origins,2020,A paranormal researcher searches obsessively for a cursed home where something terrible happened to a mother and her child long ago.
Southern Survival,2020,"The BattlBox crew tests out products designed to help people survive dangerous situations, including explosions, natural disasters and intruders."
Desperados,2020,"After drunkenly sending a cringeworthy email, hopeless romantic Wes heads to Mexico with her best friends to erase the note before her new love reads it."
The Baby-Sitters Club,2020,Ann M. Martin&#39;s beloved books get a modern update in this series that follows a group of girlfriends and their homegrown babysitting business.
Warrior Nun,2020,"After waking up in a morgue, an orphaned teen discovers she now possesses superpowers as the chosen Halo-Bearer for a secret sect of demon-hunting nuns."
The Silence of Others,2019,"Filmed over six years, this documentary captures the struggles of victims who suffered abuse under Gen. Francisco Franco&#39;s regime as they seek justice."
The F**k-It List,2019,"After a prank blows up a studious high school senior&#39;s life, he shares a list of certain things he wishes he&#39;d done differently — and maybe still can."
Under the Riccione Sun,2020,"While vacationing on the beaches of Riccione, a group of teens become friends and help each other manage romantic relationships and summer crushes."
Unsolved Mysteries,2020,"Real cases of perplexing disappearances, shocking murders and paranormal encounters fuel this gripping revival of the iconic documentary series."
Say I Do,2020,"In this reality show, couples overcome obstacles to celebrate their love in surprise dream weddings designed by three experts in less than a week."
Chavela,2017,"Known as a rebellious free spirit, Ranchera singer Chavela Vargas bares her soul through song while defying stereotypes in this stirring documentary."
AdÃº,2020,"Near a Spanish town in northern Africa, a child takes a painful journey, a father reconnects with his daughter and a coast guard is guilt stricken."
Assassination Nation,2018,"After a massive data hack exposes secrets in their town, four high school friends become targets and dish out payback that leads to chaos and carnage."
All For Love,2020,"A penniless country boy goes in search of his runaway sister in Bogotá, where he falls for an aspiring singer, but gets tangled up in organized crime."
Home Game,2020,"This docuseries profiles unique and dangerous traditional sports from around the world, as well as the communities and cultures where they thrive."
Eurovision Song Contest: The Story of Fire Saga,2020,"Two small-town singers chase their pop star dreams at a global music competition, where high stakes, scheming rivals and onstage mishaps test their bond."
Chicuarotes,2019,"Leading a life of petty crimes, a pair of teenagers determined to flee the slums of Mexico City fall into riskier schemes in hopes of greater rewards."
Crazy Delicious,2020,"In this competition show, daring home chefs tempt the food gods with reinvented classics and fanciful feasts in their quest to win a golden apple."
Bulbbul,2020,"A child bride grows up to be an enigmatic woman presiding over her household, harboring a painful past as supernatural murders of men plague her village."
Athlete A,2020,This documentary focuses on the gymnasts who survived USA Gymnastics doctor Larry Nassar&#39;s abuse and the reporters who exposed USAG&#39;s toxic culture.
Borgen,2012,A shocking turn of events puts Birgitte Nyborg in the Danish prime minister&#39;s seat as her country&#39;s first female leader in this landmark drama.
It&#39;s Okay to Not Be Okay,2020,An extraordinary road to emotional healing opens up for an antisocial children&#39;s book writer and a selfless psych ward caretaker when they cross paths.
LEGO Jurassic World: Legend of Isla Nublar,2019,"At Jurassic Park, a velociraptor handler and an operations manager tackle crises of epic proportions as they try to prevent dinosaur-sized disasters."
LEGO: CITY Adventures,2019,"In a boomtown built on fun, friendship and wacky mischief, a quirky crew of cops and firefighters work hard to preserve the peace and awesomeness."
ninjago,2019,"While fighting foes across Ninjago City and beyond, the ninjas embark on new quests and gain newfound allies as the power of their friendship is tested."
Wasp Network,2020,"Based on a true and gripping story: Cuban spies infiltrate exile groups in the 1990s to stop terrorism against the island, but at a high personal cost."
Rhyme Time Town,2020,Fun-loving friends Daisy and Cole use music and imagination to solve problems in a town filled with nursery rhyme characters.
Floor Is Lava,2020,"Teams compete to navigate rooms flooded with lava by leaping from chairs, hanging from curtains and swinging from chandeliers. Yes, really."
Lost Bullet,2020,"Facing a murder charge, a genius mechanic with a criminal past must track down a missing car containing the proof of his innocence: a single bullet."
Feel the Beat,2020,"After blowing a Broadway audition, a self-centered dancer reluctantly returns home and agrees to coach a squad of young misfits for a big competition."
Yesterday,2019,"After a global blackout erases humanity&#39;s memory of the Beatles, a struggling musician performs the group&#39;s music and becomes a pop sensation."
Charlie&#39;s Angels,2019,"When Charles Townsend&#39;s agency expands abroad, two established Angels team with a new recruit to fend off enemies from securing a revolutionary device."
The King,2017,"In this documentary, a filmmaker road-trips across America in Elvis Presley’s Rolls-Royce, visiting the places and people rocked by the music icon."
A Rainy Day in New York,0,A series of engaging New Yorkers upend the romantic weekend plans of a college couple visiting the Big Apple for a student journalism assignment.
Scary Stories to Tell in the Dark,2019,"On the run from bullies, a group of trick-or-treating teenagers hide in a local haunted house and discover a trove of chilling tales unfolding within."
A Whisker Away,2020,"A peculiar girl transforms into a cat to catch her crush&#39;s attention. But before she realizes it, the line between human and animal starts to blur."
Anna,2019,"Ready to leave a life of abuse, a woman becomes a KGB assassin and goes undercover as a model in Paris. But all deals are off when her cover is blown."
Fast & Furious Presents: Hobbs & Shaw,2019,"When US agent Luke Hobbs is sent to England to stop a deadly biothreat, he&#39;s forced to team up with his nemesis, mercenary Deckard Shaw."
Good Boys,2019,"Invited to a major party, three naive sixth graders ditch school to replace a broken drone and prep for their first kisses when events go epically awry."
The Art of Self-Defense,2019,"Tired of being bullied, a meek man enrolls in the karate class of an enigmatic instructor who introduces him to a sinister, hypermasculine subculture."
Da 5 Bloods,2020,Four African American veterans return to Vietnam decades after the war to find their squad leader&#39;s remains â€” and a stash of buried gold. From Spike Lee.
The Woods,2020,Evidence found on the body of a homicide victim sparks hope in a prosecutor that his sister who disappeared 25 years earlier could still be alive.
The Search,2020,"When a girl vanishes from a suburb near Mexico City, the personal goals of some involved in the case muddy the search. Based on a true story."
LEGO Marvel Spider-Man: Vexed by Venom,2019,"When Green Goblin and Venom team up for a disastrous scheme, Spider-Man calls in a wall-crawling ally and must rely on his Spidey senses to stop them."
Reality Z,2020,"With Rio de Janeiro under a zombie attack, reality show contestants shelter in a TV studio, where they must deal with more than flesh-eating hordes."
Lenox Hill,2020,Four doctors at New York&#39;s storied Lenox Hill Hospital balance their personal lives and their dedication to their patients in this documentary series.
Curon,2020,"After 17 years, a woman returns home with her teenage twins. When she mysteriously vanishes, her children must reckon with a shadowy family legacy."
The Night Clerk,2020,"After a charming guest checks in, a voyeuristic hotel clerk on the autism spectrum becomes a suspect in a murder that takes place during his shift."
Perdida,2020,"Searching for his kidnapped daughter, Antonio sets off a series of events affecting scores of people when he maneuvers to be sent to prison in Colombia."
The Last Days of American Crime,2020,"A bank robber joins a plot to commit one final, historic heist before the government turns on a mind-altering signal that will end all criminal behavior."
Spelling the Dream,2020,"Following four hopeful competitors, this documentary explores Indian Americans&#39; decades-long success at the biggest spelling contest in the U.S."
The Addams Family,2019,"Leading gloomy lives in isolation, a family of ghouls moves to a bland suburb where a reality TV show host&#39;s community plan cramps their style."
True: Rainbow Rescue,2020,True and Bartleby travel to the other side of the Neverending Rainbow to bring back Dillydally — a brave explorer who&#39;s the Rainbow King&#39;s best friend!
Great Pretender,2020,"Supposedly Japan&#39;s greatest swindler, Makoto Edamura gets more than he bargained for when he tries to con Laurent Thierry, a real world-class crook."
Ride,2018,"After getting a lift on a ride-sharing app, a passenger and her driver reconnect but are thrown into peril when a shady stranger joins their trip."
Second Name,2002,"Determined to learn the reason her father committed suicide, a woman slowly uncovers his horrifying past as a member of a secret religious sect."
The Kill Team,2019,The conscience of a young soldier in Afghanistan is increasingly disturbed by the bloodthirsty attitude of his platoon&#39;s charismatic new sergeant.
The Song of Names,2019,"Decades after his adopted brother went missing before a big performance, a man chases a clue and embarks on a vast journey to find the violin virtuoso."
Cocomelon,2020,"Learn letters, numbers, animal sounds and more with J.J. in this edutaining series that brings fun times with nursery rhymes for the whole family!"
Space Force,0,A four-star general begrudgingly teams up with an eccentric scientist to get the U.S. military&#39;s newest agency — Space Force — ready for lift-off.
Intuition,2020,"Police officer Pipa works on her first big case while simultaneously investigating her boss, who is suspected of murder. The prequel to ""Perdida""."
I&#39;m No Longer Here,2019,"A terrible misunderstanding with a local gang sends 17-year-old Ulises, leader of a group hooked on cumbia music, across the border to save his life."
Jeffrey Epstein: Filthy Rich,2020,Stories from survivors fuel this docuseries examining how convicted sex offender Jeffrey Epstein used his wealth and power to carry out his abuses.
Snowpiercer,2020,"Earth has frozen over and the last surviving humans live on a giant train circling the globe, struggling to coexist amid the delicate balance onboard."
Betaal,2020,"Hired to displace tribal villagers to make way for a new highway, officials unearth an old curse and an army of British soldier-zombies."
The Lovebirds,2020,"When a couple in the fast lane to splitsville accidentally careens into a murder, they take off on a wild race to find the killer and clear their names."
Control Z,2020,"When a hacker begins releasing students&#39; secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity."
History 101,2020,"Infographics and archival footage deliver bite-size history lessons on scientific breakthroughs, social movements and world-changing discoveries."
Mujeres arriba,2019,"A trio of best friends — a carefree bachelorette, a passionate mom and a perfectionist girlfriend — try to spice up their sex lives with their partners."
The Queen and the Conqueror,2020,"Years after Spanish conquistador Pedro de Heredia betrayed her people and broke her heart, indigenous woman Catalina reenters his life to get revenge."
Mutiny of the Worker Bees,2020,"When Omar&#39;s grandfather forces him to get a job at a tech company in Mexico City, he meets a quirky ensemble of nine-to-fivers ... and some nemeses."
Blood & Water,2020,"After crossing paths at a party, a Cape Town teen sets out to prove whether a private-school swimming star is her sister who was abducted at birth."
The Gentlemen,2020,"Making moves to sell his valuable UK cannabis empire, an American kingpin sets off a series of plots, schemes and barefaced plays for his business."
Sweet Magnolias,2020,"Lifelong friends Maddie, Helen and Dana Sue lift each other up as they juggle relationships, family and careers in the small, Southern town of Serenity."
The Big Flower Fight,2020,"Ten pairs of florists, sculptors and garden designers face off in a friendly floral fight to see who can build the biggest, boldest garden sculptures."
Monos,2019,"Anarchy clashes with adolescence as a squadron of teen guerillas on a remote mountaintop watch over a prisoner amid drills, attacks and misdeeds."
The Unremarkable Juanquini,2020,An inept magician pulls off the trick of his life: accidentally disappearing a wanted criminal during a police raid. Now he&#39;s going to pay for that.
"I love you, stupid",2019,"After Marcos is dumped by his girlfriend, he attempts to reinvent himself as a modern man with the help of a childhood friend and an online guru."
White Lines,2020,"Zoe Walker leaves her quiet life behind to investigate her brother&#39;s disappearance in Ibiza, where she quickly heads down a decadent and dangerous path."
Inhuman Resources,2020,"Alain Delambre, unemployed and 57, is lured by an attractive job opening. But things get ugly when he realizes heâ€™s a pawn in a cruel corporate game."
Twirlywoos,2018,"The colorful and curious family of Twirlywoos bounces around their boat and visits new places, turning learning into adventures wherever they land."
Unbreakable Kimmy Schmidt: Kimmy vs. the Reverend,2020,"It&#39;s an interactive Kimmy special! Kimmy&#39;s getting married, but first she has to foil the Reverend&#39;s evil plot. It&#39;s your move: What should she do next?"
True: Terrific Tales,2020,"Through the magic of the Story Spinner, True and her friends create their own versions of Pinocchio, Little Red Riding Hood and other classic tales."
The Wrong Missy,2020,"Tim thinks he&#39;s invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date."
Trial By Media,2020,"In this true crime docuseries, some of the most dramatic trials of all time are examined with an emphasis on how the media may have impacted verdicts."
Have a Good Trip: Adventures in Psychedelics,2020,"Explore hallucinogenic highs and lows as celebrities share funny, mind-blowing tales via animations, reenactments and more in this documentary."
